"country","item","element","Unit","Date","Value"
"Uganda","Bananas","Area Harvested","Ha","1/1/2003 12:00:00 AM",140323
"Uganda","Bananas","Area Harvested","Ha","1/1/2004 12:00:00 AM",141083
"Uganda","Bananas","Area Harvested","Ha","1/1/2005 12:00:00 AM",141505
"Uganda","Bananas","Area Harvested","Ha","1/1/2006 12:00:00 AM",141674
"Uganda","Bananas","Area Harvested","Ha","1/1/2007 12:00:00 AM",141758
"Uganda","Bananas","Area Harvested","Ha","1/1/2008 12:00:00 AM",141927
"Uganda","Bananas","Area Harvested","Ha","1/1/2009 12:00:00 AM",142096
"Uganda","Bananas","Area Harvested","Ha","1/1/2010 12:00:00 AM",143000
"Uganda","Bananas","Area Harvested","Ha","1/1/2011 12:00:00 AM",140000
"Uganda","Bananas","Area Harvested","Ha","1/1/2012 12:00:00 AM",130000
"Uganda","Bananas","Area Harvested","Ha","1/1/2013 12:00:00 AM",135956
"Uganda","Bananas","Yield","Hg/Ha","1/1/2003 12:00:00 AM",42994.16
"Uganda","Bananas","Yield","Hg/Ha","1/1/2004 12:00:00 AM",42700.82
"Uganda","Bananas","Yield","Hg/Ha","1/1/2005 12:00:00 AM",39756.05
"Uganda","Bananas","Yield","Hg/Ha","1/1/2006 12:00:00 AM",39748.15
"Uganda","Bananas","Yield","Hg/Ha","1/1/2007 12:00:00 AM",40501.21
"Uganda","Bananas","Yield","Hg/Ha","1/1/2008 12:00:00 AM",41066.53
"Uganda","Bananas","Yield","Hg/Ha","1/1/2009 12:00:00 AM",41634.88
"Uganda","Bananas","Yield","Hg/Ha","1/1/2010 12:00:00 AM",41958.04
"Uganda","Bananas","Yield","Hg/Ha","1/1/2011 12:00:00 AM",41428.57
"Uganda","Bananas","Yield","Hg/Ha","1/1/2012 12:00:00 AM",43846.15
"Uganda","Bananas","Yield","Hg/Ha","1/1/2013 12:00:00 AM",42493.23
"Uganda","Bananas","Production Quantity","tonnes","1/1/2003 12:00:00 AM",603307
"Uganda","Bananas","Production Quantity","tonnes","1/1/2004 12:00:00 AM",602436
"Uganda","Bananas","Production Quantity","tonnes","1/1/2005 12:00:00 AM",562568
"Uganda","Bananas","Production Quantity","tonnes","1/1/2006 12:00:00 AM",563128
"Uganda","Bananas","Production Quantity","tonnes","1/1/2007 12:00:00 AM",574137
"Uganda","Bananas","Production Quantity","tonnes","1/1/2008 12:00:00 AM",582845
"Uganda","Bananas","Production Quantity","tonnes","1/1/2009 12:00:00 AM",591615
"Uganda","Bananas","Production Quantity","tonnes","1/1/2010 12:00:00 AM",600000
"Uganda","Bananas","Production Quantity","tonnes","1/1/2011 12:00:00 AM",580000
"Uganda","Bananas","Production Quantity","tonnes","1/1/2012 12:00:00 AM",570000
"Uganda","Bananas","Production Quantity","tonnes","1/1/2013 12:00:00 AM",577721
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2003 12:00:00 AM",780000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2004 12:00:00 AM",812000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2005 12:00:00 AM",828000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2006 12:00:00 AM",849000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2007 12:00:00 AM",870000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2008 12:00:00 AM",896000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2009 12:00:00 AM",925000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2010 12:00:00 AM",952000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2011 12:00:00 AM",983460
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2012 12:00:00 AM",1060000
"Uganda","Beans, dry","Area Harvested","Ha","1/1/2013 12:00:00 AM",1100000
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2003 12:00:00 AM",6730.77
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2004 12:00:00 AM",5603.45
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2005 12:00:00 AM",5772.95
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2006 12:00:00 AM",4994.11
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2007 12:00:00 AM",5000
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2008 12:00:00 AM",4910.71
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2009 12:00:00 AM",4886.49
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2010 12:00:00 AM",4863.45
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2011 12:00:00 AM",4549.55
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2012 12:00:00 AM",4013.21
"Uganda","Beans, dry","Yield","Hg/Ha","1/1/2013 12:00:00 AM",4190.91
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2003 12:00:00 AM",525000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2004 12:00:00 AM",455000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2005 12:00:00 AM",478000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2006 12:00:00 AM",424000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2007 12:00:00 AM",435000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2008 12:00:00 AM",440000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2009 12:00:00 AM",452000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2010 12:00:00 AM",463000
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2011 12:00:00 AM",447430
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2012 12:00:00 AM",425400
"Uganda","Beans, dry","Production Quantity","tonnes","1/1/2013 12:00:00 AM",461000
"Uganda","Beans, dry","Seed","tonnes","1/1/2003 12:00:00 AM",40600
"Uganda","Beans, dry","Seed","tonnes","1/1/2004 12:00:00 AM",41400
"Uganda","Beans, dry","Seed","tonnes","1/1/2005 12:00:00 AM",42450
"Uganda","Beans, dry","Seed","tonnes","1/1/2006 12:00:00 AM",43500
"Uganda","Beans, dry","Seed","tonnes","1/1/2007 12:00:00 AM",44800
"Uganda","Beans, dry","Seed","tonnes","1/1/2008 12:00:00 AM",46250
"Uganda","Beans, dry","Seed","tonnes","1/1/2009 12:00:00 AM",47600
"Uganda","Beans, dry","Seed","tonnes","1/1/2010 12:00:00 AM",49173
"Uganda","Beans, dry","Seed","tonnes","1/1/2011 12:00:00 AM",53000
"Uganda","Beans, dry","Seed","tonnes","1/1/2012 12:00:00 AM",55000
"Uganda","Beans, dry","Seed","tonnes","1/1/2013 12:00:00 AM",55000
"Uganda","Cassava","Area Harvested","Ha","1/1/2003 12:00:00 AM",405000
"Uganda","Cassava","Area Harvested","Ha","1/1/2004 12:00:00 AM",407000
"Uganda","Cassava","Area Harvested","Ha","1/1/2005 12:00:00 AM",387000
"Uganda","Cassava","Area Harvested","Ha","1/1/2006 12:00:00 AM",379000
"Uganda","Cassava","Area Harvested","Ha","1/1/2007 12:00:00 AM",386000
"Uganda","Cassava","Area Harvested","Ha","1/1/2008 12:00:00 AM",398000
"Uganda","Cassava","Area Harvested","Ha","1/1/2009 12:00:00 AM",411000
"Uganda","Cassava","Area Harvested","Ha","1/1/2010 12:00:00 AM",415000
"Uganda","Cassava","Area Harvested","Ha","1/1/2011 12:00:00 AM",426148
"Uganda","Cassava","Area Harvested","Ha","1/1/2012 12:00:00 AM",428000
"Uganda","Cassava","Area Harvested","Ha","1/1/2013 12:00:00 AM",435000
"Uganda","Cassava","Yield","Hg/Ha","1/1/2003 12:00:00 AM",134567.9
"Uganda","Cassava","Yield","Hg/Ha","1/1/2004 12:00:00 AM",135135.14
